"","YEAR","METRO","HHINCOME","SFRELATE","SPLOC","SPRULE","NCHILD","NCHLT5","RELATE","RELATED","SEX","AGE","MARST","EDUC","EDUCD","EMPSTAT","EMPSTATD","WKSWORK2","UHRSWORK","INCTOT","INCWAGE","INCSS","INCWELFR","PRICEINDEX"
"1736",2008,2,246938.379388805,0,2,11,2,2,1,101,2,35,1,11,114,1,10,72,50,155479.720355914,146333.854452625,0,0,1.09339018368985
"1737",2017,3,80494.9038277007,0,2,11,0,0,1,101,2,52,1,11,114,1,12,72,50,69563.49713505,69563.49713505,0,0,1.30815734900926
"1738",2010,4,85539.8886613877,0,2,11,1,1,1,101,2,30,1,11,114,1,10,46,40,32077.4582480204,32077.4582480204,0,0,1.12228343410662
"1739",2005,1,240200,0,1,11,5,2,2,201,2,42,1,6,62,1,10,72,30,40200,28000,0,12200,1
"1740",2014,4,52538.489934739,0,2,11,3,1,1,101,2,35,1,7,71,1,10,72,40,32836.5562092119,32836.5562092119,0,0,1.21815453926251
"1741",2015,3,99541.1057234052,0,2,21,0,0,1,101,2,55,6,7,71,1,10,72,45,77064.0818503782,77064.0818503782,0,0,1.24571652182123
"1742",2009,4,85232.991453124,0,1,11,1,1,2,201,2,32,1,6,63,1,10,59,21,26915.6815115128,26915.6815115128,0,0,1.11459187786748
"1743",2006,1,96174.5681555375,0,1,11,1,0,2,201,2,55,1,10,101,1,10,72,40,50515.9347887672,50515.9347887672,0,0,1.0293781599299
"1744",2017,3,66505.7609972456,0,2,11,0,0,1,101,2,52,1,8,81,1,10,72,40,49688.2122393214,49688.2122393214,0,0,1.30815734900926
"1745",2007,3,41455.8758392515,0,0,0,0,0,1,101,2,42,6,6,62,1,10,72,40,41455.8758392515,41455.8758392515,0,0,1.06136944665247
"1746",2013,4,67133.3687316991,0,2,11,0,0,1,101,2,25,1,11,114,1,10,72,40,33566.6843658496,33566.6843658496,0,0,1.19165776291851
"1747",2019,4,49984.891680685,0,0,0,3,0,1,101,2,50,4,6,65,1,10,72,40,28976.7488003971,28976.7488003971,0,0,1.38041711565142
"1748",2007,3,136926.873539055,0,1,11,3,0,2,201,2,52,1,10,101,1,10,72,40,18843.5799269325,18843.5799269325,0,0,1.06136944665247
"1749",2010,1,40096.8228100255,0,1,11,2,0,2,201,2,30,1,6,63,1,10,72,50,13365.6076033418,13365.6076033418,0,0,1.12228343410662
"1750",2013,4,85595.0451329164,0,1,11,1,1,2,201,2,32,1,10,101,1,10,72,45,83916.7109146239,83916.7109146239,0,0,1.19165776291851
"1751",2009,4,123812.134952959,0,1,11,1,0,2,201,2,54,1,8,81,1,10,72,40,63700.4462439137,63700.4462439137,0,0,1.11459187786748
"1752",2006,3,77716.8227519495,0,1,11,0,0,2,201,2,48,1,7,71,1,10,72,40,38858.4113759748,38858.4113759748,0,0,1.0293781599299
"1753",2014,3,41866.6091667451,0,2,11,2,0,1,101,2,30,1,10,101,1,10,72,40,15597.3641993756,15597.3641993756,0,0,1.21815453926251
"1754",2011,4,80594.5211849051,0,2,11,2,0,1,101,2,43,1,10,101,1,10,72,40,19272.6028920425,19272.6028920425,0,0,1.14151680098611
"1755",2005,2,91200,0,1,11,2,0,2,201,2,48,1,2,21,1,10,72,48,27000,27000,0,0,1
"1756",2009,4,64597.6356276308,0,2,21,0,0,1,101,2,28,6,11,115,1,10,72,40,32298.8178138154,0,0,0,1.11459187786748
"1757",2012,4,19445.3183869695,0,2,11,4,1,1,101,2,31,1,7,71,1,10,72,40,5396.71831885058,5396.71831885058,0,0,1.16737610299101
"1758",2016,2,498080.750393685,0,2,11,0,0,1,101,2,28,1,10,101,1,10,72,40,93977.5000742803,93977.5000742803,0,0,1.27690138496078
"1759",2007,4,43622.8875308487,0,1,11,1,0,2,201,2,38,1,2,21,1,10,72,40,14226.902844834,14226.902844834,0,0,1.06136944665247
"1760",2019,3,115182.576481579,0,0,0,0,0,3,301,2,29,6,10,101,1,10,72,40,18110.4680002482,18110.4680002482,0,0,1.38041711565142
"1761",2018,4,82035.13537296,0,2,11,2,0,1,101,2,47,1,11,114,1,10,72,36,43960.699246182,43960.699246182,0,0,1.34210786024119
"1762",2014,0,90546.8037469017,0,2,11,0,0,1,101,2,50,1,8,81,1,10,72,40,28157.3469493992,28157.3469493992,0,0,1.21815453926251
"1763",2012,1,57479.3332055355,0,1,11,0,0,2,201,2,45,1,8,81,2,20,33,40,14648.2354368801,12849.3293305966,0,0,1.16737610299101
"1764",2016,3,148797.708450944,0,1,11,1,0,2,201,2,41,1,6,65,1,10,72,40,70483.1250557102,70483.1250557102,0,0,1.27690138496078
"1765",2014,3,23970.6860327247,0,0,0,0,0,1,101,2,45,2,6,61,1,10,72,40,23970.6860327247,23970.6860327247,0,0,1.21815453926251
"1766",2009,3,102647.437391073,0,1,11,2,0,2,201,2,46,1,10,101,1,10,72,20,13188.6839406413,13188.6839406413,0,0,1.11459187786748
"1767",2017,1,12766.0483753334,0,0,0,0,0,1,101,2,47,4,6,63,1,10,72,40,12766.0483753334,11925.1709374371,0,840.877437896209,1.30815734900926
"1768",2019,4,328886.098884507,0,0,0,1,0,1,101,2,50,4,11,115,1,10,72,50,328886.098884507,328886.098884507,0,0,1.38041711565142
"1769",2015,3,58440.2620698702,0,1,11,2,0,2,201,2,33,1,6,65,1,10,72,40,29220.1310349351,29220.1310349351,0,0,1.24571652182123
"1770",2019,3,28831.8650563951,0,0,0,1,0,1,101,2,51,2,6,65,1,10,72,40,25354.6552003475,25354.6552003475,0,0,1.38041711565142
"1771",2019,0,24123.1433763306,0,0,0,1,0,1,101,2,54,4,6,63,1,10,72,40,24123.1433763306,28686.9813123931,0,0,1.38041711565142
"1772",2011,2,45553.425017555,0,2,11,0,0,1,101,2,27,1,11,114,1,10,72,40,26280.8221255125,26280.8221255125,0,0,1.14151680098611
"1773",2005,3,39300,0,0,0,0,0,1,101,2,39,4,8,81,1,10,72,45,39300,39300,0,0,1
"1774",2019,4,32598.8424004468,0,0,0,0,0,1,101,2,45,6,6,65,1,10,72,57,32598.8424004468,32598.8424004468,0,0,1.38041711565142
"1775",2005,3,60000,0,0,0,0,0,12,1241,2,31,6,7,71,1,10,72,40,30000,30000,0,0,1
"1776",2019,1,63676.4054888727,0,1,11,1,0,2,201,2,41,1,6,65,1,10,72,40,47087.2168006453,47087.2168006453,0,0,1.38041711565142
"1777",2010,2,89816.8830944571,0,0,0,0,0,1,101,2,44,5,6,65,1,10,72,40,17820.8101377891,17820.8101377891,0,0,1.12228343410662
"1778",2015,4,71846.2013084255,0,1,11,2,1,2,201,2,36,1,6,63,1,10,72,40,13245.3890680338,11238.5119365135,0,0,1.24571652182123
"1779",2011,4,42136.9181412384,0,0,0,2,0,1,101,2,53,5,6,63,1,10,72,16,33289.0413589825,7271.02745472513,0,0,1.14151680098611
"1780",2018,1,52901.858414897,0,2,11,0,0,1,101,2,55,1,6,63,1,10,72,32,14156.8353504654,14156.8353504654,0,0,1.34210786024119
"1781",2005,1,43600,0,2,11,1,0,1,101,2,40,1,6,62,1,10,20,40,29300,20000,0,0,1
"1782",2008,4,182917.318065781,0,1,11,2,0,2,201,2,37,1,11,114,1,10,72,40,91458.6590328907,91458.6590328907,0,0,1.09339018368985
"1783",2009,2,16867.1604138814,0,0,0,2,0,1,101,2,38,3,2,23,1,10,72,37,16867.1604138814,11663.4619883222,0,0,1.11459187786748
"1784",2009,2,69083.5825462163,0,1,11,1,1,2,201,2,26,1,10,101,1,12,72,44,32298.8178138154,32298.8178138154,0,0,1.11459187786748
"1785",2007,4,42021.1832370595,0,0,0,0,0,1,101,2,44,4,10,101,1,12,72,35,42021.1832370595,42021.1832370595,0,0,1.06136944665247
"1786",2013,4,108252.557079865,0,1,21,0,0,11,1114,2,44,6,7,71,1,10,72,24,7552.50398231615,7552.50398231615,0,0,1.19165776291851
"1787",2007,0,35802.8018611717,0,0,0,1,0,1,101,2,48,6,6,62,1,10,46,45,29207.5488867454,25438.8329013589,0,0,1.06136944665247
"1788",2014,3,32836.5562092119,0,0,0,0,0,1,101,2,25,6,5,50,1,10,72,40,32836.5562092119,32836.5562092119,0,0,1.21815453926251
"1789",2017,1,49993.9858531019,0,2,11,4,2,1,101,2,39,1,8,81,1,10,72,36,20639.7189301797,20639.7189301797,0,0,1.30815734900926
"1790",2011,4,13841.2329861033,0,0,0,0,0,1,101,2,45,6,7,71,3,30,20,8,13841.2329861033,2628.08221255125,3504.109616735,0,1.14151680098611
"1791",2009,3,108021.601799538,0,2,11,0,0,1,101,2,53,1,7,71,1,10,72,50,46653.8479532889,46653.8479532889,0,0,1.11459187786748
"1792",2011,2,74462.3293556188,0,0,0,0,0,1,101,2,49,6,7,71,1,10,72,50,74462.3293556188,74462.3293556188,0,0,1.14151680098611
"1793",2019,3,228191.896803127,0,1,11,3,1,2,201,2,37,1,8,81,1,10,72,40,166616.305602283,166616.305602283,0,0,1.38041711565142
"1794",2008,4,76367.9802924637,0,1,11,0,0,2,201,2,55,1,11,114,1,10,33,35,49387.675877761,49387.675877761,0,0,1.09339018368985
"1795",2015,4,31331.3657772944,0,2,11,2,0,1,101,2,35,1,2,26,1,10,72,38,27317.6115142539,27293.5289886756,0,0,1.24571652182123
"1796",2010,4,29047.9205245962,0,1,11,1,0,2,201,2,49,1,10,101,1,10,72,35,14256.6481102313,14256.6481102313,0,0,1.12228343410662
"1797",2007,4,55588.5607844509,0,1,11,0,0,2,201,2,49,1,11,114,1,10,72,35,22612.295912319,22612.295912319,0,0,1.06136944665247
"1798",2013,1,77622.9575960271,0,1,11,0,0,2,201,2,49,1,6,63,1,10,72,40,20559.5941740829,20559.5941740829,0,0,1.19165776291851
"1799",2014,1,72404.6064413121,0,1,11,0,0,2,201,2,54,1,10,101,1,10,72,40,34478.3840196725,34478.3840196725,0,0,1.21815453926251
"1800",2007,2,60111.0199669147,0,2,21,0,0,1,101,2,47,4,6,62,1,10,72,40,32976.2648721319,32976.2648721319,0,0,1.06136944665247
"1801",2014,3,75524.0792811873,0,1,11,0,0,2,201,2,52,1,6,63,1,10,72,50,41045.6952615148,41045.6952615148,0,0,1.21815453926251
