"","YEAR","METRO","HHINCOME","SFRELATE","SPLOC","SPRULE","NCHILD","NCHLT5","RELATE","RELATED","SEX","AGE","MARST","EDUC","EDUCD","EMPSTAT","EMPSTATD","WKSWORK2","UHRSWORK","INCTOT","INCWAGE","INCSS","INCWELFR","PRICEINDEX"
"1",2017,3,45866.0420670659,0,4,21,2,1,1,101,2,27,3,6,63,1,10,72,50,22933.021033533,22933.021033533,0,0,1.30815734900926
"2",2014,3,3529.92979249028,0,0,0,1,0,1,101,2,49,3,8,81,1,10,20,20,3529.92979249028,3529.92979249028,0,0,1.21815453926251
"3",2006,3,17486.2851191886,0,0,0,3,1,1,101,2,38,2,6,62,1,10,72,45,17486.2851191886,17486.2851191886,0,0,1.0293781599299
"4",2018,0,51411.6652201112,0,0,0,0,0,3,301,2,51,6,10,101,1,10,72,40,38745.0230644316,38745.0230644316,0,0,1.34210786024119
"5",2015,3,57798.0613877837,0,1,11,2,0,2,201,2,41,1,11,114,1,10,72,45,25688.0272834594,25688.0272834594,0,0,1.24571652182123
"6",2005,3,85600,0,1,11,0,0,2,201,2,51,1,7,71,1,10,72,32,31400,31400,0,0,1
"7",2007,2,103639.689598129,0,1,11,1,1,2,201,2,45,1,11,114,1,10,72,40,47108.9498173313,47108.9498173313,0,0,1.06136944665247
"8",2005,1,64200,0,2,11,2,1,1,101,2,37,1,6,62,1,10,72,44,29200,28000,0,0,1
"9",2019,1,147491.651394021,0,2,11,0,0,1,101,2,37,1,11,114,1,10,72,40,33685.4704804616,30425.586240417,0,0,1.38041711565142
"10",2013,3,47832.5252213356,0,0,0,0,0,1,101,2,55,5,6,63,1,10,72,40,47832.5252213356,47832.5252213356,0,0,1.19165776291851
"11",2015,4,49048.0770943553,0,0,0,0,0,11,1115,2,32,6,10,101,1,10,72,40,24162.800663504,24162.800663504,0,0,1.24571652182123
"12",2010,4,49274.5400309869,0,1,11,2,0,2,201,2,31,1,6,63,1,10,72,40,19870.2033036348,19870.2033036348,0,0,1.12228343410662
"13",2016,3,64217.9583840915,0,1,11,2,0,2,201,2,47,1,11,114,1,10,72,24,9397.75000742803,9397.75000742803,0,0,1.27690138496078
"14",2014,3,9030.05295753326,0,2,11,0,0,1,101,2,48,1,6,64,1,10,33,20,2462.74171569089,0,0,0,1.21815453926251
"15",2019,3,521.581478407148,0,0,0,0,0,1,101,2,28,6,6,64,1,10,20,12,521.581478407148,521.581478407148,0,0,1.38041711565142
"16",2016,2,125303.333432374,0,1,11,2,2,2,201,2,27,1,11,115,1,10,72,60,125303.333432374,125303.333432374,0,0,1.27690138496078
"17",2005,3,93000,0,2,11,1,0,1,101,2,53,1,6,62,1,10,46,20,15000,15000,0,0,1
"18",2015,2,40619.1931419702,0,2,11,2,1,1,101,2,41,1,10,101,3,30,20,30,9633.01023129728,4816.50511564864,0,0,1.24571652182123
"19",2008,3,38504.095452847,0,0,0,0,0,1,101,2,27,6,10,101,1,10,72,40,38504.095452847,38412.6367938141,0,0,1.09339018368985
"20",2015,4,25366.9269424162,0,1,21,3,1,11,1114,2,38,4,6,63,1,10,72,24,2889.90306938918,2889.90306938918,0,0,1.24571652182123
"21",2010,2,44997.5455979175,0,0,0,0,0,12,1241,2,26,6,11,114,3,30,33,45,16484.2493774549,16484.2493774549,0,0,1.12228343410662
"22",2015,4,81880.5869660269,0,1,11,2,2,2,201,2,29,1,10,101,1,10,72,15,17660.5187573783,17660.5187573783,0,0,1.24571652182123
"23",2017,2,240796.720852096,0,2,11,0,0,1,101,2,33,1,10,101,1,10,72,40,99376.4244786429,91732.0841341319,0,0,1.30815734900926
"24",2010,4,36087.1405290229,0,0,0,0,0,1,101,2,26,6,10,101,1,10,72,40,36087.1405290229,36087.1405290229,0,0,1.12228343410662
"25",2012,4,150765.464145667,0,1,11,0,0,2,201,2,54,1,6,65,1,10,72,40,51397.3173223864,51397.3173223864,0,0,1.16737610299101
"26",2015,0,148508.9077325,0,2,11,0,0,1,101,2,48,1,6,65,1,10,72,40,92316.3480499322,77064.0818503782,0,0,1.24571652182123
"27",2011,3,127461.987308736,0,2,11,2,1,1,101,2,34,1,10,101,1,10,72,3,2190.06851045938,0,0,0,1.14151680098611
"28",2009,3,81285.3581647688,0,0,0,0,0,3,301,2,53,6,10,101,1,10,72,40,28710.060278947,28710.060278947,0,0,1.11459187786748
"29",2017,1,31341.7954124951,0,2,11,1,0,1,101,2,45,1,10,101,1,10,72,60,12230.9445512176,12230.9445512176,0,0,1.30815734900926
"30",2017,0,84087.7437896209,0,2,11,1,0,1,101,2,45,1,6,63,1,10,72,35,27519.6252402396,27519.6252402396,0,0,1.30815734900926
"31",2010,3,187118.506446786,0,1,11,4,0,2,201,2,45,1,6,65,1,10,72,12,93559.2532233928,93559.2532233928,0,0,1.12228343410662
"32",2013,4,2517.50132743872,0,0,0,0,0,1,101,2,40,5,8,81,1,10,72,21,2517.50132743872,0,0,0,1.19165776291851
"33",2011,3,96363.0144602126,0,1,11,2,0,2,201,2,44,1,10,101,1,10,72,40,43801.3702091875,43801.3702091875,0,0,1.14151680098611
"34",2006,3,87431.4255959432,0,0,0,0,0,11,1115,2,45,5,7,71,1,10,46,40,34001.1099539779,34001.1099539779,0,0,1.0293781599299
"35",2019,2,60416.521248828,0,0,0,0,0,10,1001,2,37,2,6,63,1,10,72,40,17386.0492802383,17386.0492802383,0,0,1.38041711565142
"36",2016,3,10337.5250081708,0,0,0,1,0,1,101,2,35,6,6,61,2,20,46,40,10337.5250081708,10337.5250081708,0,0,1.27690138496078
"37",2007,4,202568.484214524,1,0,0,2,2,3,301,2,29,4,7,71,1,10,72,45,54646.3817881042,44282.4128282914,0,0,1.06136944665247
"38",2010,2,14256.6481102313,0,1,11,0,0,2,201,2,48,1,1,17,1,10,72,9,4989.82683858095,0,0,0,1.12228343410662
"39",2018,4,178823.1833743,0,1,11,1,0,2,201,2,41,1,10,101,1,10,72,40,104313.523635008,104313.523635008,0,0,1.34210786024119
"40",2012,2,95941.659001788,0,1,11,1,0,2,201,2,50,1,11,115,1,10,72,25,61676.7807868637,47114.2075455209,0,0,1.16737610299101
"41",2010,3,81441.1023296962,0,2,11,3,0,1,101,2,54,1,6,63,1,10,20,30,3207.74582480204,3207.74582480204,0,0,1.12228343410662
"42",2017,2,103198.594650898,0,1,11,0,0,2,201,2,35,1,6,63,1,10,72,37,64212.4588938923,64212.4588938923,0,0,1.30815734900926
"43",2016,3,129219.062602135,0,2,11,3,0,1,101,2,41,1,11,114,1,10,72,45,90061.7709045186,90061.7709045186,0,0,1.27690138496078
"44",2018,2,23396.0331581376,1,0,0,2,0,3,301,2,36,6,6,63,1,10,72,30,8941.15916871499,8941.15916871499,0,0,1.34210786024119
"45",2009,2,142653.112011018,0,2,11,1,1,1,101,2,39,1,10,101,1,10,72,50,142653.112011018,142653.112011018,0,0,1.11459187786748
"46",2010,0,85094.368407943,0,1,11,1,1,2,201,2,33,1,10,101,1,10,72,40,31631.9379945757,31631.9379945757,0,0,1.12228343410662
"47",2019,4,25209.7714563455,0,0,0,0,0,3,303,2,26,6,10,101,1,10,72,14,7244.18720009928,7244.18720009928,0,0,1.38041711565142
"48",2018,3,6109.79209862191,0,0,0,2,2,1,101,2,31,6,7,71,2,20,7,36,6109.79209862191,3427.44434800741,0,2682.3477506145,1.34210786024119
"49",2009,3,107662.726046051,0,3,21,1,0,1,101,2,42,4,7,71,1,10,72,40,53831.3630230257,53831.3630230257,0,0,1.11459187786748
"50",2015,1,24082.5255782432,0,0,0,0,0,1,101,2,32,6,10,101,1,10,72,39,24082.5255782432,24082.5255782432,0,0,1.24571652182123
"51",2012,4,130206.537216712,0,1,11,1,0,2,201,2,46,1,11,114,1,10,72,40,85662.1955373107,85662.1955373107,0,0,1.16737610299101
"52",2006,3,61201.9979171603,0,2,11,0,0,1,101,2,52,1,7,71,1,10,72,50,32058.1893851792,32058.1893851792,0,0,1.0293781599299
"53",2008,3,74538.8071118059,0,1,11,1,0,2,201,2,50,1,10,101,1,10,72,38,23779.2513485516,23779.2513485516,0,0,1.09339018368985
"54",2009,4,190921.900854998,0,1,11,4,2,2,201,2,35,1,6,65,1,10,72,40,67289.2037787821,67289.2037787821,0,0,1.11459187786748
"55",2009,0,13457.8407557564,0,0,0,0,0,1,101,2,43,3,10,101,1,10,72,40,13457.8407557564,13457.8407557564,0,0,1.11459187786748
"56",2018,3,108039.006621973,0,2,11,1,0,1,101,2,35,1,10,101,1,10,72,40,59607.7277914332,59607.7277914332,0,0,1.34210786024119
"57",2018,4,67088.4976292581,0,1,11,0,0,2,201,2,31,1,10,101,1,10,46,30,12696.4460195753,12592.1324959403,0,104.313523635008,1.34210786024119
"58",2005,2,75150,0,0,0,2,0,1,101,2,45,6,10,101,3,30,72,40,58030,58000,0,0,1
"59",2012,3,111372.846905879,0,1,11,1,0,2,201,2,40,1,11,114,1,10,46,40,51397.3173223864,51397.3173223864,0,0,1.16737610299101
"60",2007,1,39571.5178465583,0,2,11,2,2,1,101,2,26,1,8,81,1,12,72,40,15074.863941546,15074.863941546,0,0,1.06136944665247
"61",2010,3,8375.78076476088,0,0,0,1,0,1,101,2,40,6,8,81,1,10,72,30,8375.78076476088,8375.78076476088,0,0,1.12228343410662
"62",2009,3,50242.6054881573,0,0,0,0,0,1,101,2,30,6,10,101,1,10,72,40,50242.6054881573,50242.6054881573,0,0,1.11459187786748
"63",2012,0,56751.2045434684,0,2,11,2,0,1,101,2,39,1,6,63,2,20,7,30,214.155488843277,214.155488843277,0,0,1.16737610299101
"64",2016,0,94055.8146576755,0,1,11,2,0,2,201,2,46,1,11,114,1,10,72,55,36886.168779155,36886.168779155,0,0,1.27690138496078
"65",2013,1,48923.4424632257,0,1,11,2,0,2,201,2,50,1,6,64,1,10,46,35,13846.2573009129,10909.1724189011,0,0,1.19165776291851
"66",2017,2,54580.5900598085,2,4,11,1,0,3,301,2,26,1,6,63,1,10,72,30,4127.94378603593,4127.94378603593,0,0,1.30815734900926
"67",2014,1,83265.297407509,1,0,0,1,0,3,301,2,31,4,7,71,1,10,72,35,10844.2726880922,8209.13905230297,0,8.20913905230297,1.21815453926251
"68",2013,4,53958.4451181032,1,0,0,1,1,7,701,2,27,3,6,63,1,10,72,40,16615.5087610955,16615.5087610955,0,0,1.19165776291851
"69",2019,4,9417.44336012906,0,0,0,1,0,1,101,2,40,6,10,101,1,10,46,11,9417.44336012906,7968.60592010921,0,1448.83744001986,1.38041711565142
"70",2018,0,64823.4039731837,0,0,0,0,0,3,301,2,25,6,6,63,1,10,72,40,18627.4149348229,18627.4149348229,0,0,1.34210786024119
"71",2009,0,5831.73099416112,0,0,0,1,1,1,101,2,31,6,7,71,1,10,46,20,5831.73099416112,5831.73099416112,0,0,1.11459187786748
"72",2014,0,25612.5138431853,0,0,0,1,0,11,1115,2,41,4,10,101,1,10,72,22,6895.67680393449,6895.67680393449,0,0,1.21815453926251
"73",2019,0,95623.2710413105,0,2,11,3,0,1,101,2,35,1,6,65,1,10,72,45,37669.7734405162,37669.7734405162,0,0,1.38041711565142
"74",2011,4,113883.562543888,0,2,11,2,2,1,101,2,27,1,8,81,1,10,72,30,26280.8221255125,26280.8221255125,0,0,1.14151680098611
"75",2013,3,42797.5225664582,0,2,11,0,0,1,101,2,33,1,11,114,1,10,72,40,22657.5119469484,22657.5119469484,0,0,1.19165776291851
"76",2015,2,66467.7705959512,0,0,0,1,0,1,101,2,49,4,7,71,1,10,72,40,12041.2627891216,12041.2627891216,0,0,1.24571652182123
"77",2005,4,64000,0,0,0,0,0,1,101,2,30,6,11,114,1,10,72,40,36000,36000,0,0,1
"78",2005,3,88000,0,1,11,2,2,2,201,2,35,1,8,81,1,10,72,41,40000,40000,0,0,1
"79",2009,4,59035.0614485848,0,0,0,2,0,1,101,2,46,4,6,63,1,10,72,40,58317.3099416112,58317.3099416112,0,0,1.11459187786748
"80",2016,4,132899.848021711,0,1,11,1,0,2,201,2,43,1,11,116,1,10,20,50,10964.0416753327,10964.0416753327,0,0,1.27690138496078
"81",2008,2,107921.217658811,0,1,11,1,1,2,201,2,35,1,11,114,1,10,72,40,39327.223384143,39327.223384143,0,0,1.09339018368985
"82",2019,3,232031.31601918,0,2,11,3,0,1,101,2,46,1,10,101,1,10,72,50,134959.20753785,125324.438561718,0,0,1.38041711565142
"83",2010,4,122491.338482093,0,1,11,0,0,2,201,2,53,1,6,64,1,10,72,45,77787.8362514494,0,0,0,1.12228343410662
"84",2006,4,180934.477969382,0,1,11,2,0,2,201,2,40,1,6,62,1,10,72,38,21372.1262567861,21372.1262567861,0,0,1.0293781599299
"85",2005,4,44800,0,1,21,2,2,11,1114,2,31,6,6,62,1,10,72,30,7800,7800,0,0,1
"86",2019,3,50709.310400695,0,0,0,2,0,1,101,2,54,4,1,12,1,10,72,40,18110.4680002482,18110.4680002482,0,0,1.38041711565142
"87",2017,3,6879.90631005989,0,0,0,0,0,3,301,2,29,6,7,71,1,10,33,23,2293.3021033533,2293.3021033533,0,0,1.30815734900926
"88",2008,3,73166.9272263126,0,2,11,0,0,1,101,2,42,1,11,114,1,10,72,35,36583.4636131563,36583.4636131563,0,0,1.09339018368985
"89",2019,3,42813.1463525867,0,0,0,1,0,1,101,2,54,4,10,101,1,10,72,40,34120.1217124676,33323.2611204567,0,0,1.38041711565142
"90",2005,1,57700,0,0,0,0,0,3,301,2,25,6,7,71,1,10,72,40,19000,19000,0,0,1
"91",2012,4,38547.9879917898,0,1,11,0,0,2,201,2,28,1,10,101,1,10,7,50,8566.21955373107,8566.21955373107,0,0,1.16737610299101
"92",2018,0,37254.8298696458,0,0,0,0,0,1,101,2,52,6,8,81,2,20,20,40,37254.8298696458,37254.8298696458,0,0,1.34210786024119
"93",2011,1,68330.1375263325,0,1,11,1,0,2,201,2,40,1,10,101,1,10,72,20,2628.08221255125,2628.08221255125,0,0,1.14151680098611
"94",2008,0,52131.4356487477,0,1,11,2,0,2,201,2,46,1,6,63,1,10,72,24,14633.3854452625,14633.3854452625,0,0,1.09339018368985
"95",2009,4,40463.241205641,0,1,11,2,0,2,201,2,45,1,6,63,1,10,72,45,31401.6284300983,31401.6284300983,0,0,1.11459187786748
"96",2016,4,75667.5504764747,0,1,11,0,0,2,201,2,27,1,10,101,1,10,72,40,37669.3146131073,37591.0000297121,0,0,1.27690138496078
"97",2015,0,61009.0647982161,0,1,11,2,0,2,201,2,40,1,6,63,1,10,72,40,28899.0306938918,28899.0306938918,0,0,1.24571652182123
"98",2006,4,28172.3482475817,0,1,11,0,0,2,201,2,27,1,10,101,1,10,20,30,8743.14255959432,8743.14255959432,0,0,1.0293781599299
"99",2014,4,64688.0157321474,1,0,0,1,1,3,301,2,27,6,8,81,1,10,72,40,56643.0594608905,56643.0594608905,0,0,1.21815453926251
"100",2019,4,18110.4680002482,0,0,0,2,0,1,101,2,45,3,10,101,1,10,72,40,18110.4680002482,18110.4680002482,0,0,1.38041711565142
"101",2016,3,8379.66042328999,0,0,0,0,0,3,301,2,55,6,7,71,1,10,72,20,8379.66042328999,8379.66042328999,0,0,1.27690138496078
"102",2011,2,14892.4658711238,0,1,11,1,0,2,201,2,47,1,6,63,1,10,72,23,14016.43846694,14016.43846694,0,0,1.14151680098611
"103",2014,0,45971.1786928966,0,0,0,2,0,1,101,2,50,4,7,71,1,10,72,33,14776.4502941453,14776.4502941453,0,0,1.21815453926251
"104",2018,3,74509.6597392916,0,2,11,1,0,1,101,2,46,1,10,101,1,10,72,40,74509.6597392916,74509.6597392916,0,0,1.34210786024119
"105",2019,4,52882.5665607247,0,1,21,2,0,11,1114,2,54,4,8,81,1,10,72,50,43465.1232005957,0,0,0,1.38041711565142
"106",2005,0,10700,0,0,0,3,0,1,101,2,41,4,6,62,1,10,33,12,6700,5900,0,0,1
"107",2011,1,94041.5418391256,0,1,21,3,1,11,1114,2,28,4,6,63,1,10,72,40,26412.2262361401,26280.8221255125,0,0,1.14151680098611
"108",2006,1,13600.4439815912,0,0,0,0,0,1,101,2,53,5,6,62,1,10,46,16,13600.4439815912,6800.22199079558,0,0,1.0293781599299
"109",2016,2,43073.0208673785,0,0,0,0,0,1,101,2,31,6,10,101,1,10,72,50,43073.0208673785,43073.0208673785,0,0,1.27690138496078
"110",2011,4,97501.8500856514,0,1,11,0,0,2,201,2,48,1,7,71,1,10,72,40,48181.5072301063,48181.5072301063,0,0,1.14151680098611
"111",2013,3,41119.1883481657,0,0,0,0,0,1,101,2,30,6,10,101,1,10,72,45,41119.1883481657,41119.1883481657,0,0,1.19165776291851
"112",2017,4,80265.5736173654,0,1,11,0,0,2,201,2,26,1,10,101,1,10,72,40,35928.3996192016,35928.3996192016,0,0,1.30815734900926
"113",2018,4,98352.7508558649,0,0,0,0,0,1,101,2,35,6,11,114,1,10,72,60,98352.7508558649,96862.557661079,0,0,1.34210786024119
"114",2016,2,38374.1458636644,0,2,21,0,0,1,101,2,44,4,10,101,1,10,72,45,38374.1458636644,38374.1458636644,0,0,1.27690138496078
"115",2008,3,37589.5088625181,0,1,11,2,1,2,201,2,32,1,10,101,1,10,46,20,6950.85808649969,6950.85808649969,0,0,1.09339018368985
"116",2007,1,47890.958384299,0,1,11,0,0,2,201,2,40,1,8,81,1,10,72,20,17712.9651313165,17712.9651313165,0,0,1.06136944665247
"117",2011,2,86726.7130141913,0,0,0,2,0,1,101,2,53,4,11,114,1,10,72,38,86726.7130141913,86726.7130141913,0,0,1.14151680098611
"118",2008,3,30181.3574808539,0,0,0,3,0,1,101,2,30,6,6,64,1,10,72,30,30181.3574808539,22864.6647582227,0,0,1.09339018368985
"119",2012,4,27925.8757451633,0,0,0,2,0,1,101,2,40,3,8,81,1,10,72,40,27925.8757451633,26555.2806165663,0,0,1.16737610299101
"120",2005,4,72800,0,1,11,5,0,2,201,2,35,1,6,62,1,10,72,40,30000,30000,0,0,1
"121",2015,1,78107.6579587688,0,2,11,0,0,1,101,2,54,1,6,63,1,10,72,40,32110.0341043243,32110.0341043243,0,0,1.24571652182123
"122",2006,4,148186.55178228,0,2,11,2,0,1,101,2,37,1,6,62,1,10,72,40,99380.3870940555,99088.9490087357,0,0,1.0293781599299
"123",2018,1,22948.9751997018,0,1,21,0,0,11,1114,2,29,3,8,81,1,10,72,42,19372.5115322158,19372.5115322158,0,0,1.34210786024119
"124",2006,4,106860.631283931,0,1,11,2,1,2,201,2,35,1,7,71,1,10,72,40,29143.8085319811,29143.8085319811,0,0,1.0293781599299
"125",2019,3,282523.300803872,0,2,11,3,2,1,101,2,34,1,11,114,1,10,72,43,65197.6848008935,65197.6848008935,0,0,1.38041711565142
"126",2012,4,89688.3187275643,0,1,11,3,1,2,201,2,49,1,1,16,1,10,46,40,19273.9939958949,19273.9939958949,0,0,1.16737610299101
"127",2005,2,80400,0,1,11,2,0,2,201,2,48,1,7,71,1,10,72,40,18000,18000,0,0,1
"128",2019,2,76281.2912170454,0,2,11,1,0,1,101,2,48,1,7,71,1,10,72,40,29194.0744164001,29194.0744164001,0,0,1.38041711565142
"129",2008,2,46643.9161067743,0,0,0,0,0,7,701,2,32,2,6,63,1,10,72,40,23779.2513485516,23779.2513485516,0,0,1.09339018368985
"130",2005,0,50000,0,1,21,2,0,11,1114,2,35,4,10,101,1,10,72,42,23000,23000,0,0,1
"131",2014,0,48105.5548464954,0,3,21,1,0,1,101,2,25,6,2,26,1,12,46,18,13627.1708268229,10671.8807679939,0,0,1.21815453926251
"132",2010,2,148358.244397094,0,2,11,0,0,1,101,2,48,1,10,101,1,10,7,16,1247.45670964524,1247.45670964524,0,0,1.12228343410662
"133",2019,4,36228.1801876965,0,2,21,0,0,1,101,2,49,6,10,101,1,10,33,6,7251.43138729938,0,0,0,1.38041711565142
"134",2006,1,109250.423583553,0,1,11,0,0,2,201,2,53,1,11,116,1,10,72,40,53653.7515073772,53430.3156419653,0,0,1.0293781599299
"135",2012,4,57230.9128384773,0,2,11,0,0,1,101,2,51,1,10,101,1,10,7,18,693.863783852217,154.191951967159,0,0,1.16737610299101
"136",2016,2,117471.87509285,0,0,0,0,0,11,1115,2,25,6,10,101,1,10,72,40,39157.2916976168,39157.2916976168,0,0,1.27690138496078
"137",2016,2,58814.2521298204,0,2,11,2,0,1,101,2,37,1,11,114,1,10,72,65,47067.0646205354,40723.5833655215,0,0,1.27690138496078
"138",2008,0,50210.803809057,0,5,21,3,0,1,101,2,38,3,7,71,1,10,72,40,28535.1016182619,27437.5977098672,0,0,1.09339018368985
"139",2008,3,82678.6277657332,0,1,11,2,0,2,201,2,40,1,10,101,3,30,7,4,5578.97820100633,5578.97820100633,0,0,1.09339018368985
"140",2005,0,34000,0,1,11,1,1,2,201,2,39,1,7,71,1,10,72,40,18000,18000,0,0,1
"141",2011,1,43801.3702091875,0,2,11,0,0,1,101,2,48,1,6,65,1,12,72,35,15768.4932753075,15768.4932753075,0,0,1.14151680098611
"142",2010,0,148625.556549161,0,0,0,0,0,7,701,2,36,6,10,101,1,10,72,5,64154.9164960408,54353.4709202568,0,0,1.12228343410662
"143",2015,4,360435.13282104,0,1,11,0,0,2,201,2,50,1,11,116,1,10,72,45,73853.0784399458,73853.0784399458,0,0,1.24571652182123
"144",2010,4,76629.4835924931,0,0,0,0,0,1,101,2,45,4,10,101,1,10,72,36,76629.4835924931,76629.4835924931,0,0,1.12228343410662
"145",2013,0,52867.527876213,0,2,11,1,0,1,101,2,49,1,11,114,1,10,72,40,48671.6923304819,48671.6923304819,0,0,1.19165776291851
"146",2018,0,20862.7047270016,0,0,0,0,0,1,101,2,36,4,11,114,1,10,72,40,20862.7047270016,20862.7047270016,0,0,1.34210786024119
"147",2015,0,79472.3344082025,0,2,11,0,0,1,101,2,50,1,6,63,1,10,72,30,22477.023873027,22477.023873027,0,0,1.24571652182123
"148",2018,3,95521.3837857718,2,3,11,2,0,5,501,2,46,1,6,63,1,10,72,50,29803.8638957166,29803.8638957166,0,0,1.34210786024119
"149",2015,3,69839.3241769053,0,2,11,2,0,1,101,2,32,1,11,114,1,10,46,40,41743.0443356215,41743.0443356215,0,0,1.24571652182123
"150",2018,4,115489.972595902,0,1,21,0,0,11,1114,2,30,6,10,101,1,10,72,40,48431.2788305395,48431.2788305395,0,0,1.34210786024119
"151",2010,4,95430.4382878606,0,1,11,2,0,2,201,2,54,1,8,81,1,10,72,40,23077.9491284369,23077.9491284369,0,0,1.12228343410662
"152",2014,0,114927.946732242,0,1,11,0,0,2,201,2,47,1,6,63,1,10,72,40,26269.2449673695,26269.2449673695,0,0,1.21815453926251
"153",2017,4,23926.7852783194,1,0,0,3,2,3,301,2,35,6,0,2,1,10,72,35,15288.680689022,15288.680689022,0,0,1.30815734900926
"154",2015,3,37889.8402431026,0,2,11,3,0,1,101,2,55,1,6,65,1,10,72,32,21433.4477646364,21433.4477646364,0,0,1.24571652182123
"155",2009,0,22968.0482231576,0,2,11,5,1,1,101,2,38,1,7,71,1,10,72,35,13009.2460638979,13009.2460638979,0,0,1.11459187786748
"156",2019,3,565046.601607744,0,1,11,1,0,2,201,2,54,1,11,115,1,10,72,40,37669.7734405162,37669.7734405162,0,0,1.38041711565142
"157",2013,4,121855.455919125,0,2,11,2,2,1,101,2,34,1,10,101,1,10,72,32,54722.0871874262,54545.8620945055,0,0,1.19165776291851
"158",2009,4,45218.3449393416,0,0,0,0,0,3,301,2,26,6,7,71,1,10,72,35,16508.2846603945,16508.2846603945,0,0,1.11459187786748
"159",2009,4,170465.982906248,0,2,11,2,0,1,101,2,55,1,7,71,1,10,72,40,76261.0976159531,53831.3630230257,0,0,1.11459187786748
"160",2010,2,55422.7195285241,0,0,0,0,0,8,801,2,28,6,4,40,3,30,33,30,12118.1508936966,12118.1508936966,0,0,1.12228343410662
"161",2019,4,21732.5616002978,0,0,0,0,0,1,101,2,36,6,10,101,1,10,72,60,21732.5616002978,21732.5616002978,0,0,1.38041711565142
"162",2008,1,27437.5977098672,0,0,0,0,0,1,101,2,51,5,8,81,1,10,72,49,27437.5977098672,27437.5977098672,0,0,1.09339018368985
"163",2009,1,112148.672964637,0,2,11,4,0,1,101,2,37,1,10,101,1,10,72,40,58317.3099416112,58317.3099416112,0,0,1.11459187786748
"164",2014,4,15022.7244657144,0,0,0,1,0,1,101,2,49,4,6,63,1,10,72,31,13955.536388915,13955.536388915,0,0,1.21815453926251
"165",2013,4,109930.891298157,0,2,11,1,0,1,101,2,44,1,7,71,1,10,46,40,21818.3448378022,21818.3448378022,0,0,1.19165776291851
"166",2015,0,25045.8266013729,0,0,0,0,0,1,101,2,43,4,5,50,1,10,72,40,25045.8266013729,25045.8266013729,0,0,1.24571652182123
"167",2015,0,167774.928195094,0,2,11,3,0,1,101,2,38,1,11,114,1,12,72,40,45756.7985986621,45756.7985986621,0,0,1.24571652182123
"168",2012,4,149908.842190294,0,2,11,0,0,1,101,2,48,1,10,101,1,10,72,50,64246.646652983,64246.646652983,0,0,1.16737610299101
"169",2005,0,65000,0,1,11,2,1,2,201,2,29,1,8,81,1,10,72,18,18000,18000,0,0,1
"170",2011,4,53612.8771360455,0,1,11,1,1,2,201,2,29,1,6,63,3,30,7,20,1051.2328850205,1051.2328850205,0,0,1.14151680098611
"171",2017,1,33635.0975158484,0,1,11,3,1,2,201,2,31,1,6,64,3,30,7,40,3057.7361378044,1146.65105167665,0,0,1.30815734900926
"172",2019,4,49477.7985766781,0,2,11,0,0,1,101,2,53,1,6,65,1,10,72,40,21732.5616002978,21732.5616002978,0,0,1.38041711565142
"173",2005,1,78000,0,1,11,1,0,2,201,2,47,1,6,62,1,10,72,48,24000,24000,0,0,1
"174",2019,3,109387.226721499,0,2,21,0,0,1,101,2,43,4,10,101,1,10,72,40,45638.3793606255,45638.3793606255,0,0,1.38041711565142
"175",2006,4,106860.631283931,0,1,11,0,0,2,201,2,37,1,11,114,1,10,72,40,48573.0142199685,48573.0142199685,0,0,1.0293781599299
"176",2007,3,61241.6347625306,0,2,11,2,0,1,101,2,33,1,8,81,1,10,72,45,28265.3698903987,28265.3698903987,0,0,1.06136944665247
"177",2016,3,338788.88776778,0,2,11,1,0,1,101,2,53,1,8,81,1,10,72,30,51687.6250408542,51687.6250408542,0,0,1.27690138496078
"178",2018,4,22352.8979217875,0,1,11,0,0,2,201,2,36,1,10,101,3,30,33,20,4470.57958435749,4470.57958435749,0,0,1.34210786024119
"179",2012,3,62105.0917645503,0,1,11,3,0,2,201,2,37,1,8,81,1,10,72,40,23985.414750447,23985.414750447,0,0,1.16737610299101
"180",2013,3,145175.909882299,0,1,11,3,0,2,201,2,48,1,10,101,1,10,72,36,58741.6976402367,58741.6976402367,0,0,1.19165776291851
"181",2007,4,75374.31970773,0,2,11,1,1,1,101,2,33,1,6,62,3,30,33,40,18843.5799269325,18843.5799269325,0,0,1.06136944665247
"182",2005,4,157400,0,2,11,1,0,1,101,2,48,1,8,81,1,10,72,15,145000,125000,0,0,1
"183",2010,4,238264.23154224,0,2,11,2,0,1,101,2,46,1,10,101,1,10,72,50,73065.3215649353,73065.3215649353,0,0,1.12228343410662
"184",2014,2,70188.1388971904,1,0,0,1,0,10,1001,2,50,6,11,114,1,10,72,40,62389.4567975025,62389.4567975025,0,0,1.21815453926251
"185",2011,1,46166.6442004836,0,2,11,1,0,1,101,2,54,1,6,64,1,10,72,40,7884.24663765375,7884.24663765375,0,0,1.14151680098611
"186",2008,4,118896.256742758,0,1,11,0,0,2,201,2,42,1,10,101,1,10,72,45,53960.6088294055,53046.0222390766,0,0,1.09339018368985
"187",2018,4,53795.9743317685,0,0,0,0,0,11,1115,2,39,4,11,114,1,10,72,40,44705.7958435749,0,0,0,1.34210786024119
"188",2012,0,77438.6247657289,0,2,11,1,0,1,101,2,42,1,11,114,1,10,72,40,42831.0977686554,42831.0977686554,0,0,1.16737610299101
